 (HEAD -> develop, origin/develop) : e417ca41570b1940578739a02328f4fff2dd2fd6
Timestamp: 2016-07-13 17:20:51 -0700
Epoch Timestamp: 1468455651
--------------------------------------------------------------------------------
test, time(s), result
Tests/Unit/pos/rangeAdt.hs, 1.4025, True
Tests/Unit/pos/range1.hs, 0.7197, True
Tests/Unit/pos/range.hs, 0.8789, True
Tests/Unit/pos/qualTest.hs, 0.6663, True
Tests/Unit/pos/QQTySyn.hs, 2.7305, True
Tests/Unit/pos/QQTySigTyVars.hs, 2.6588, True
Tests/Unit/pos/QQTySig.hs, 2.6367, True
Tests/Unit/pos/propmeasure1.hs, 0.6119, True
Tests/Unit/pos/propmeasure.hs, 0.7015, True
Tests/Unit/pos/Propability.hs, 0.6511, True
Tests/Unit/pos/PromotedDataCons.hs, 0.6210, True
Tests/Unit/pos/profcrasher.hs, 0.6606, True
Tests/Unit/pos/Product.hs, 0.8232, True
Tests/Unit/pos/primInt0.hs, 0.7120, True
Tests/Unit/pos/pred.hs, 0.6187, True
Tests/Unit/pos/pragma0.hs, 0.6120, True
Tests/Unit/pos/poslist_dc.hs, 0.7164, True
Tests/Unit/pos/poslist.hs, 0.7865, True
Tests/Unit/pos/polyqual.hs, 0.8621, True
Tests/Unit/pos/polyfun.hs, 0.6904, True
Tests/Unit/pos/poly4.hs, 0.6723, True
Tests/Unit/pos/poly3a.hs, 0.6394, True
Tests/Unit/pos/poly3.hs, 0.6304, True
Tests/Unit/pos/poly2.hs, 0.6800, True
Tests/Unit/pos/poly2-degenerate.hs, 0.6804, True
Tests/Unit/pos/poly1.hs, 0.6816, True
Tests/Unit/pos/poly0.hs, 0.7158, True
Tests/Unit/pos/PointDist.hs, 0.6692, True
Tests/Unit/pos/PlugHoles.hs, 0.5994, True
Tests/Unit/pos/PersistentVector.hs, 0.7320, True
Tests/Unit/pos/Permutation.hs, 1.1594, True
Tests/Unit/pos/partialmeasure.hs, 0.6305, True
Tests/Unit/pos/partial-tycon.hs, 0.6126, True
Tests/Unit/pos/pargs1.hs, 0.6059, True
Tests/Unit/pos/pargs.hs, 0.6071, True
Tests/Unit/pos/PairMeasure0.hs, 0.6304, True
Tests/Unit/pos/PairMeasure.hs, 0.6382, True
Tests/Unit/pos/pair00.hs, 0.9855, True
Tests/Unit/pos/pair0.hs, 1.1217, True
Tests/Unit/pos/pair.hs, 1.1885, True
Tests/Unit/pos/Overwrite.hs, 0.6265, True
Tests/Unit/pos/OrdList.hs, 8.7215, True
Tests/Unit/pos/nullterm.hs, 0.8459, True
Tests/Unit/pos/NoExhaustiveGuardsError.hs, 0.6424, True
Tests/Unit/pos/NoCaseExpand.hs, 0.9424, True
Tests/Unit/pos/niki1.hs, 0.6905, True
Tests/Unit/pos/niki.hs, 0.6827, True
Tests/Unit/pos/nats.hs, 0.6416, True
Tests/Unit/pos/MutualRec.hs, 1.8184, True
Tests/Unit/pos/mutrec.hs, 0.6431, True
Tests/Unit/pos/MultipleInvariants.hs, 0.6272, True
Tests/Unit/pos/multi-pred-app-00.hs, 0.6040, True
Tests/Unit/pos/Moo.hs, 0.6202, True
Tests/Unit/pos/monad7.hs, 0.7953, True
Tests/Unit/pos/monad6.hs, 0.6942, True
Tests/Unit/pos/monad5.hs, 0.8319, True
Tests/Unit/pos/monad2.hs, 0.6244, True
Tests/Unit/pos/monad1.hs, 0.6080, True
Tests/Unit/pos/modTest.hs, 0.6931, True
Tests/Unit/pos/Mod2.hs, 0.6250, True
Tests/Unit/pos/Mod1.hs, 0.6228, True
Tests/Unit/pos/MergeSort.hs, 1.0438, True
Tests/Unit/pos/Merge1.hs, 0.6529, True
Tests/Unit/pos/MeasureSets.hs, 0.6443, True
Tests/Unit/pos/Measures1.hs, 0.5956, True
Tests/Unit/pos/Measures.hs, 0.6125, True
Tests/Unit/pos/MeasureDups.hs, 0.6788, True
Tests/Unit/pos/MeasureContains.hs, 0.6943, True
Tests/Unit/pos/meas9.hs, 0.6944, True
Tests/Unit/pos/meas8.hs, 0.6608, True
Tests/Unit/pos/meas7.hs, 0.6570, True
Tests/Unit/pos/meas6.hs, 0.7518, True
Tests/Unit/pos/meas5.hs, 1.0363, True
Tests/Unit/pos/meas4.hs, 0.7325, True
Tests/Unit/pos/meas3.hs, 0.7323, True
Tests/Unit/pos/meas2.hs, 0.6841, True
Tests/Unit/pos/meas11.hs, 0.6417, True
Tests/Unit/pos/meas10.hs, 0.7169, True
Tests/Unit/pos/meas1.hs, 0.6817, True
Tests/Unit/pos/meas0a.hs, 0.6913, True
Tests/Unit/pos/meas00a.hs, 0.6565, True
Tests/Unit/pos/meas00.hs, 0.6814, True
Tests/Unit/pos/meas0.hs, 0.6915, True
Tests/Unit/pos/maybe4.hs, 0.6196, True
Tests/Unit/pos/maybe3.hs, 0.6286, True
Tests/Unit/pos/maybe2.hs, 1.0060, True
Tests/Unit/pos/maybe1.hs, 0.7383, True
Tests/Unit/pos/maybe000.hs, 0.6817, True
Tests/Unit/pos/maybe00.hs, 0.6111, True
Tests/Unit/pos/maybe0.hs, 0.6675, True
Tests/Unit/pos/maybe.hs, 0.9499, True
Tests/Unit/pos/mapTvCrash.hs, 0.6333, True
Tests/Unit/pos/maps1.hs, 0.6659, True
Tests/Unit/pos/maps.hs, 0.7119, True
Tests/Unit/pos/mapreduce.hs, 1.6252, True
Tests/Unit/pos/mapreduce-bare.hs, 2.6634, True
Tests/Unit/pos/Map2.hs, 7.8056, True
Tests/Unit/pos/Map0.hs, 7.7900, True
Tests/Unit/pos/Map.hs, 7.7502, True
Tests/Unit/pos/malformed0.hs, 0.8771, True
Tests/Unit/pos/Loo.hs, 0.6184, True
Tests/Unit/pos/LogicCurry1.hs, 0.6256, True
Tests/Unit/pos/LocalTermExpr.hs, 0.6816, True
Tests/Unit/pos/LocalSpecImp.hs, 0.6240, True
Tests/Unit/pos/LocalSpec0.hs, 0.6089, True
Tests/Unit/pos/LocalSpec.hs, 0.6743, True
Tests/Unit/pos/LocalLazy.hs, 0.6662, True
Tests/Unit/pos/LocalHole.hs, 0.6508, True
Tests/Unit/pos/lit00.hs, 0.6652, True
Tests/Unit/pos/lit.hs, 0.6234, True
Tests/Unit/pos/ListSort.hs, 1.5980, True
Tests/Unit/pos/listSetDemo.hs, 0.7607, True
Tests/Unit/pos/listSet.hs, 0.7664, True
Tests/Unit/pos/ListReverse-LType.hs, 0.6833, True
Tests/Unit/pos/ListRange.hs, 0.7363, True
Tests/Unit/pos/ListRange-LType.hs, 0.7453, True
Tests/Unit/pos/listqual.hs, 0.6486, True
Tests/Unit/pos/ListQSort.hs, 1.2143, True
Tests/Unit/pos/ListQSort-LType.hs, 1.1103, True
Tests/Unit/pos/ListMSort.hs, 1.0984, True
Tests/Unit/pos/ListMSort-LType.hs, 1.7814, True
Tests/Unit/pos/ListLen.hs, 1.0494, True
Tests/Unit/pos/ListLen-LType.hs, 0.9593, True
Tests/Unit/pos/ListKeys.hs, 0.6356, True
Tests/Unit/pos/ListISort.hs, 0.7108, True
Tests/Unit/pos/ListISort-LType.hs, 0.9702, True
Tests/Unit/pos/ListElem.hs, 0.6566, True
Tests/Unit/pos/ListConcat.hs, 0.6475, True
Tests/Unit/pos/listAnf.hs, 0.7050, True
Tests/Unit/pos/LiquidClass.hs, 0.6103, True
Tests/Unit/pos/LiquidArray.hs, 0.6390, True
Tests/Unit/pos/lex.hs, 0.6134, True
Tests/Unit/pos/lets.hs, 0.7233, True
Tests/Unit/pos/LazyWhere1.hs, 0.6681, True
Tests/Unit/pos/LazyWhere.hs, 0.6667, True
Tests/Unit/pos/LambdaEvalTiny.hs, 0.8591, True
Tests/Unit/pos/LambdaEvalSuperTiny.hs, 0.8122, True
Tests/Unit/pos/LambdaEvalMini.hs, 1.7643, True
