 (HEAD -> strings, origin/strings) : 20523970e499f503556de9c9c53dcc649534a92b
Timestamp: 2016-07-13 16:44:03 -0700
Epoch Timestamp: 1468453443
--------------------------------------------------------------------------------
test, time(s), result
Tests/Unit/pos/rangeAdt.hs, 2.0111, True
Tests/Unit/pos/range1.hs, 0.8244, True
Tests/Unit/pos/range.hs, 1.2104, True
Tests/Unit/pos/qualTest.hs, 0.7725, True
Tests/Unit/pos/QQTySyn.hs, 2.6697, True
Tests/Unit/pos/QQTySigTyVars.hs, 2.6757, True
Tests/Unit/pos/QQTySig.hs, 2.6606, True
Tests/Unit/pos/propmeasure1.hs, 0.7106, True
Tests/Unit/pos/propmeasure.hs, 0.9221, True
Tests/Unit/pos/Propability.hs, 0.7872, True
Tests/Unit/pos/PromotedDataCons.hs, 0.6856, True
Tests/Unit/pos/profcrasher.hs, 0.7382, True
Tests/Unit/pos/Product.hs, 1.0887, True
Tests/Unit/pos/primInt0.hs, 0.8716, True
Tests/Unit/pos/pred.hs, 0.7057, True
Tests/Unit/pos/pragma0.hs, 0.6999, True
Tests/Unit/pos/poslist_dc.hs, 0.8896, True
Tests/Unit/pos/poslist.hs, 1.0736, True
Tests/Unit/pos/polyqual.hs, 1.3200, True
Tests/Unit/pos/polyfun.hs, 0.7999, True
Tests/Unit/pos/poly4.hs, 0.7677, True
Tests/Unit/pos/poly3a.hs, 0.8082, True
Tests/Unit/pos/poly3.hs, 0.7951, True
Tests/Unit/pos/poly2.hs, 0.7661, True
Tests/Unit/pos/poly2-degenerate.hs, 0.7597, True
Tests/Unit/pos/poly1.hs, 0.7883, True
Tests/Unit/pos/poly0.hs, 0.7933, True
Tests/Unit/pos/PointDist.hs, 0.7898, True
Tests/Unit/pos/PlugHoles.hs, 0.6854, True
Tests/Unit/pos/PersistentVector.hs, 0.8762, True
Tests/Unit/pos/Permutation.hs, 1.8380, True
Tests/Unit/pos/partialmeasure.hs, 0.7403, True
Tests/Unit/pos/partial-tycon.hs, 0.6537, True
Tests/Unit/pos/pargs1.hs, 0.6676, True
Tests/Unit/pos/pargs.hs, 0.6527, True
Tests/Unit/pos/PairMeasure0.hs, 0.7341, True
Tests/Unit/pos/PairMeasure.hs, 0.7485, True
Tests/Unit/pos/pair00.hs, 1.5468, True
Tests/Unit/pos/pair0.hs, 1.9393, True
Tests/Unit/pos/pair.hs, 2.2165, True
Tests/Unit/pos/Overwrite.hs, 0.7234, True
Tests/Unit/pos/OrdList.hs, 18.8057, True
Tests/Unit/pos/nullterm.hs, 1.0587, True
Tests/Unit/pos/NoExhaustiveGuardsError.hs, 0.7194, True
Tests/Unit/pos/NoCaseExpand.hs, 1.6185, True
Tests/Unit/pos/niki1.hs, 0.8112, True
Tests/Unit/pos/niki.hs, 0.7878, True
Tests/Unit/pos/nats.hs, 0.8000, True
Tests/Unit/pos/MutualRec.hs, 4.0930, True
Tests/Unit/pos/mutrec.hs, 0.7087, True
Tests/Unit/pos/MultipleInvariants.hs, 0.6998, True
Tests/Unit/pos/multi-pred-app-00.hs, 0.6765, True
Tests/Unit/pos/Moo.hs, 0.7036, True
Tests/Unit/pos/MonoidMatch.hs, 5.9125, True
Tests/Unit/pos/monad7.hs, 1.0301, True
Tests/Unit/pos/monad6.hs, 0.7706, True
Tests/Unit/pos/monad5.hs, 1.0605, True
Tests/Unit/pos/monad2.hs, 0.6813, True
Tests/Unit/pos/monad1.hs, 0.6801, True
